CustomerID,Age,Gender,Income,VisitFrequency,AverageSpend,PreferredCuisine,TimeOfVisit,GroupSize,DiningOccasion,MealType,LoyaltyProgramMember,WaitTime,ServiceRating,FoodRating,AmbianceRating
695,19,Male,122435,Rarely,117,Indian,Breakfast,8,Casual,Takeaway,1,45,3,4,5
696,62,Female,131995,Rarely,140,Italian,Dinner,8,Celebration,Takeaway,0,56,2,4,2
697,30,Female,21526,Daily,108,Indian,Breakfast,1,Celebration,Dine-in,0,39,2,1,4
698,50,Female,123950,Rarely,190,American,Lunch,8,Celebration,Dine-in,0,30,1,5,2
699,28,Female,105851,Weekly,157,Indian,Breakfast,5,Celebration,Takeaway,0,25,5,1,3
700,38,Female,83286,Monthly,79,Italian,Breakfast,3,Business,Takeaway,0,23,1,4,2
701,59,Female,136805,Weekly,70,American,Dinner,6,Celebration,Dine-in,0,24,5,1,4
702,28,Female,137669,Weekly,51,Indian,Dinner,8,Celebration,Takeaway,0,58,2,2,2
703,41,Female,98714,Monthly,154,Indian,Breakfast,1,Business,Dine-in,1,43,4,1,4
704,48,Female,106670,Weekly,196,Italian,Breakfast,2,Celebration,Takeaway,0,52,1,1,4
705,30,Male,39182,Daily,19,Italian,Dinner,1,Casual,Dine-in,1,44,5,2,4
706,46,Female,73317,Weekly,63,Mexican,Lunch,8,Business,Dine-in,1,11,2,2,2
707,22,Female,46093,Weekly,72,Mexican,Dinner,4,Casual,Dine-in,1,18,1,2,2
708,36,Female,149655,Monthly,64,American,Dinner,6,Celebration,Takeaway,1,5,5,3,1
709,44,Female,143378,Weekly,128,Italian,Breakfast,1,Business,Dine-in,1,31,5,4,2
710,19,Female,81440,Rarely,80,Chinese,Lunch,4,Business,Takeaway,1,22,3,5,4
711,64,Male,22073,Weekly,26,Indian,Breakfast,3,Casual,Dine-in,0,22,5,1,5
712,18,Female,132427,Monthly,69,Italian,Breakfast,7,Celebration,Takeaway,0,15,3,2,5
713,33,Male,95965,Monthly,23,American,Breakfast,1,Celebration,Dine-in,0,45,3,3,3
714,50,Male,35296,Weekly,128,Italian,Dinner,4,Business,Dine-in,0,23,3,3,5
715,67,Female,45759,Monthly,160,American,Lunch,6,Casual,Takeaway,1,9,5,3,4
716,52,Male,103379,Monthly,186,Chinese,Breakfast,1,Business,Takeaway,1,40,3,4,2
717,21,Male,94550,Monthly,83,Chinese,Lunch,2,Celebration,Takeaway,0,24,5,5,1
718,33,Male,113609,Monthly,47,Mexican,Breakfast,8,Celebration,Takeaway,1,39,1,1,1
719,46,Male,74785,Weekly,60,Mexican,Lunch,2,Casual,Dine-in,0,47,3,3,2
720,64,Male,68238,Weekly,77,Indian,Breakfast,1,Business,Takeaway,1,23,2,4,4
721,59,Female,75129,Monthly,136,Chinese,Dinner,2,Celebration,Takeaway,0,32,4,3,5
722,35,Male,33384,Monthly,93,Indian,Breakfast,6,Casual,Dine-in,1,17,3,1,1
723,56,Male,99022,Monthly,156,American,Lunch,1,Business,Takeaway,0,12,5,2,2
724,37,Male,129956,Weekly,170,Indian,Lunch,8,Celebration,Dine-in,1,33,5,5,1
725,43,Female,60400,Monthly,110,American,Breakfast,5,Casual,Dine-in,0,34,3,2,3
726,35,Male,109278,Monthly,171,Italian,Dinner,6,Celebration,Dine-in,0,14,2,3,2
727,34,Male,138642,Monthly,44,Italian,Dinner,4,Celebration,Takeaway,1,17,3,1,5
728,55,Male,122223,Weekly,134,Chinese,Dinner,3,Casual,Dine-in,1,45,2,5,3
729,30,Female,37083,Monthly,175,Indian,Breakfast,9,Celebration,Takeaway,1,35,1,3,5
730,53,Female,101003,Rarely,71,Italian,Breakfast,1,Celebration,Dine-in,0,22,1,3,3
731,40,Female,33239,Monthly,170,Italian,Lunch,7,Celebration,Dine-in,0,36,5,4,1
732,65,Male,132529,Weekly,57,Indian,Dinner,3,Casual,Dine-in,1,5,4,5,5
733,42,Male,31187,Rarely,27,Mexican,Lunch,9,Celebration,Takeaway,0,52,2,2,4
734,66,Female,31296,Monthly,181,Chinese,Dinner,8,Casual,Dine-in,1,14,4,4,1
735,55,Male,147219,Monthly,59,Mexican,Lunch,6,Celebration,Dine-in,0,38,4,3,2
736,31,Male,81176,Monthly,176,Mexican,Lunch,4,Celebration,Takeaway,0,16,5,1,4
737,35,Female,62674,Monthly,54,Chinese,Breakfast,4,Casual,Takeaway,0,5,5,4,4
738,19,Female,63136,Monthly,17,Chinese,Dinner,3,Casual,Takeaway,1,27,2,3,5
739,40,Female,133056,Rarely,73,Mexican,Breakfast,6,Celebration,Takeaway,0,42,1,2,3
740,49,Male,69311,Daily,79,Chinese,Dinner,8,Celebration,Takeaway,1,28,2,2,5
741,62,Female,109896,Monthly,199,American,Lunch,7,Celebration,Takeaway,1,40,3,4,1
742,42,Female,41414,Monthly,189,Indian,Dinner,4,Celebration,Takeaway,0,50,5,2,4
743,56,Female,62028,Monthly,25,American,Lunch,1,Celebration,Takeaway,0,53,2,3,5
744,60,Male,30637,Monthly,172,Mexican,Lunch,3,Celebration,Takeaway,0,31,1,2,5
745,59,Male,108814,Weekly,63,American,Dinner,2,Business,Dine-in,0,56,1,4,2
746,68,Male,102517,Rarely,60,Italian,Dinner,7,Celebration,Takeaway,0,7,1,5,2
747,67,Male,47731,Rarely,58,American,Dinner,2,Celebration,Dine-in,1,6,4,4,1
748,64,Female,40967,Monthly,102,Mexican,Dinner,4,Business,Takeaway,1,20,3,2,3
749,20,Female,147362,Rarely,45,Indian,Lunch,2,Business,Dine-in,0,50,4,3,4
750,62,Male,30306,Monthly,129,Chinese,Dinner,6,Casual,Takeaway,1,54,3,5,5
751,53,Male,99064,Weekly,47,Indian,Lunch,8,Casual,Dine-in,0,7,1,1,5
752,28,Male,69615,Weekly,50,Indian,Breakfast,8,Casual,Dine-in,1,1,5,5,5
753,49,Male,97990,Weekly,96,Italian,Breakfast,3,Business,Takeaway,1,48,3,5,1
754,22,Female,129622,Weekly,49,Italian,Lunch,1,Celebration,Takeaway,1,53,2,3,5
755,57,Female,104198,Weekly,129,Italian,Lunch,6,Business,Dine-in,1,3,4,3,4
756,62,Male,115722,Rarely,21,Mexican,Dinner,1,Casual,Dine-in,0,53,2,1,3
757,62,Male,137673,Monthly,86,Indian,Breakfast,7,Business,Takeaway,0,60,1,4,4
758,46,Male,90343,Rarely,113,Italian,Dinner,8,Business,Dine-in,1,39,3,4,5
759,36,Female,23323,Monthly,188,Italian,Dinner,7,Celebration,Takeaway,1,24,2,5,1
760,65,Male,76833,Weekly,119,Italian,Breakfast,9,Business,Takeaway,1,50,4,5,5
761,27,Female,79161,Rarely,148,Indian,Breakfast,3,Celebration,Takeaway,0,57,4,4,3
762,19,Male,144849,Weekly,56,Indian,Breakfast,9,Casual,Dine-in,0,45,2,2,5
763,31,Male,77620,Monthly,149,Mexican,Breakfast,3,Celebration,Dine-in,0,37,1,1,4
764,46,Male,112626,Weekly,164,Mexican,Breakfast,2,Celebration,Takeaway,1,9,3,2,5
765,50,Female,62418,Rarely,192,Chinese,Breakfast,7,Business,Takeaway,0,35,5,2,2
766,61,Male,96506,Monthly,83,Chinese,Lunch,7,Business,Takeaway,1,8,3,5,5
767,26,Male,103668,Weekly,184,American,Dinner,7,Business,Dine-in,1,53,4,2,2
768,23,Male,39932,Weekly,197,Mexican,Breakfast,5,Business,Dine-in,1,25,4,3,5
769,47,Male,88700,Rarely,145,Chinese,Breakfast,4,Casual,Takeaway,1,9,2,4,5
770,60,Male,92277,Rarely,165,Italian,Dinner,5,Business,Takeaway,0,32,1,5,3
771,66,Male,47508,Weekly,40,American,Lunch,7,Casual,Dine-in,1,4,1,2,2
772,37,Female,66867,Monthly,11,Italian,Breakfast,9,Business,Takeaway,1,18,2,4,3
773,40,Female,59224,Rarely,163,Chinese,Breakfast,7,Business,Takeaway,1,50,4,4,3
774,62,Female,142534,Monthly,61,Indian,Lunch,7,Business,Takeaway,1,15,2,2,5
775,63,Female,132716,Weekly,178,Mexican,Breakfast,1,Celebration,Dine-in,0,46,1,5,2
776,20,Female,38189,Monthly,81,Mexican,Dinner,1,Casual,Dine-in,0,26,1,4,2
777,42,Female,60474,Weekly,195,Indian,Lunch,1,Business,Dine-in,0,0,4,1,2
778,60,Female,71105,Weekly,11,Indian,Breakfast,5,Celebration,Takeaway,0,12,2,5,1
779,44,Male,38493,Rarely,12,Italian,Lunch,5,Casual,Dine-in,0,27,1,4,3
780,23,Male,84982,Weekly,95,Italian,Dinner,3,Casual,Takeaway,1,2,3,4,3
781,65,Female,59454,Monthly,155,Italian,Dinner,4,Business,Takeaway,0,24,3,5,4
782,67,Female,84121,Monthly,72,Italian,Lunch,8,Casual,Takeaway,1,42,2,1,4
783,63,Female,140124,Monthly,65,Chinese,Dinner,4,Celebration,Takeaway,1,17,4,1,2
784,68,Female,94282,Monthly,182,Mexican,Lunch,9,Celebration,Dine-in,0,39,5,4,1
785,24,Male,31796,Daily,55,Italian,Dinner,9,Business,Takeaway,0,56,3,5,5
786,27,Male,56966,Monthly,33,Italian,Breakfast,9,Celebration,Dine-in,0,59,3,3,1
787,50,Female,64939,Monthly,113,Chinese,Lunch,4,Casual,Dine-in,0,46,3,4,2
788,25,Male,117497,Monthly,125,Chinese,Breakfast,6,Celebration,Dine-in,0,18,4,2,3
789,30,Male,46377,Daily,20,Italian,Lunch,6,Business,Dine-in,0,28,1,3,2
790,58,Female,97030,Weekly,158,American,Dinner,3,Casual,Takeaway,1,28,2,5,2
791,67,Male,117452,Daily,175,Indian,Lunch,4,Business,Takeaway,1,45,1,5,5
792,57,Female,101362,Weekly,98,Mexican,Lunch,3,Celebration,Takeaway,1,25,1,1,1
793,65,Male,60717,Daily,66,Mexican,Breakfast,1,Casual,Dine-in,1,50,2,3,2
794,67,Female,52717,Rarely,72,Indian,Breakfast,8,Celebration,Dine-in,1,4,5,2,4
795,35,Female,78909,Rarely,32,American,Dinner,6,Casual,Dine-in,1,30,3,2,4
796,63,Male,130870,Weekly,76,Indian,Dinner,7,Business,Takeaway,0,43,3,4,1
797,59,Male,149006,Weekly,156,Mexican,Lunch,9,Celebration,Dine-in,0,49,3,1,1
798,42,Male,120750,Rarely,183,American,Lunch,1,Celebration,Takeaway,0,2,1,5,1
799,39,Male,97583,Rarely,124,Indian,Dinner,1,Celebration,Takeaway,0,46,3,4,5
800,43,Male,32863,Monthly,181,Chinese,Dinner,5,Business,Takeaway,1,51,3,4,1
801,52,Male,111967,Rarely,138,American,Lunch,8,Casual,Dine-in,0,21,2,5,4
802,52,Male,143420,Rarely,177,Mexican,Lunch,5,Celebration,Dine-in,1,44,3,3,3
803,66,Female,28073,Weekly,167,Chinese,Dinner,3,Celebration,Takeaway,1,1,5,1,1
804,22,Female,120539,Daily,92,Chinese,Lunch,9,Casual,Takeaway,1,27,5,2,3
805,34,Female,112055,Rarely,167,American,Lunch,9,Casual,Dine-in,0,31,4,3,4
806,53,Female,48489,Weekly,170,Indian,Dinner,1,Casual,Takeaway,1,40,2,4,3
807,57,Female,142449,Rarely,103,Italian,Breakfast,5,Business,Takeaway,0,42,2,3,5
808,58,Female,132047,Weekly,21,American,Dinner,7,Business,Takeaway,1,15,5,5,1
809,42,Male,84666,Monthly,84,Italian,Breakfast,7,Casual,Dine-in,0,22,2,4,2
810,46,Female,109006,Rarely,52,Italian,Dinner,8,Business,Takeaway,1,40,3,5,1
811,59,Male,43697,Monthly,51,Italian,Breakfast,6,Celebration,Dine-in,1,6,1,3,4
812,41,Female,132528,Weekly,165,Chinese,Dinner,2,Celebration,Dine-in,0,20,2,2,5
813,22,Female,90630,Monthly,11,American,Lunch,4,Casual,Takeaway,0,5,2,4,1
814,25,Male,30580,Weekly,198,Indian,Lunch,7,Celebration,Takeaway,1,52,1,2,5
815,30,Female,106716,Monthly,80,Mexican,Breakfast,1,Celebration,Dine-in,1,60,2,1,4
816,23,Male,107630,Rarely,96,Italian,Dinner,2,Celebration,Dine-in,0,52,4,4,5
817,50,Female,114661,Rarely,135,American,Lunch,5,Celebration,Takeaway,1,59,2,2,1
818,38,Male,124096,Weekly,118,Chinese,Breakfast,5,Business,Dine-in,1,5,1,5,4
819,44,Male,78605,Rarely,155,Mexican,Dinner,3,Celebration,Takeaway,0,0,2,3,5
820,55,Female,25889,Monthly,37,Chinese,Breakfast,9,Casual,Takeaway,0,23,5,1,2
821,59,Female,66116,Rarely,52,Mexican,Lunch,8,Celebration,Takeaway,0,26,1,4,1
822,39,Male,81042,Monthly,114,Mexican,Lunch,8,Business,Dine-in,1,52,1,5,2
823,40,Male,96164,Monthly,59,Italian,Dinner,1,Casual,Takeaway,1,31,4,4,4
824,28,Male,55083,Monthly,177,Indian,Dinner,6,Casual,Takeaway,0,54,5,2,4
825,47,Male,81504,Weekly,200,Mexican,Lunch,3,Celebration,Dine-in,1,6,5,2,2
826,56,Female,136815,Monthly,45,American,Dinner,4,Business,Dine-in,1,48,2,5,1
827,61,Male,105862,Weekly,46,Mexican,Dinner,7,Celebration,Dine-in,0,44,2,4,4
828,34,Male,64756,Weekly,115,Mexican,Breakfast,4,Casual,Takeaway,1,51,2,4,1
829,43,Female,148425,Weekly,53,Indian,Dinner,3,Business,Takeaway,0,24,1,3,4
830,18,Female,88711,Weekly,168,Italian,Dinner,9,Celebration,Takeaway,1,13,1,5,5
831,49,Female,37343,Monthly,89,Chinese,Dinner,8,Casual,Dine-in,1,33,1,2,1
832,42,Female,23262,Weekly,99,Chinese,Breakfast,6,Celebration,Takeaway,0,16,3,5,3
833,59,Female,138471,Weekly,14,Indian,Lunch,5,Business,Dine-in,0,48,4,1,2
834,35,Male,69161,Rarely,161,Chinese,Lunch,3,Celebration,Takeaway,1,8,3,5,2
835,57,Female,85820,Daily,79,Chinese,Breakfast,5,Casual,Dine-in,1,43,1,2,3
836,69,Male,124582,Weekly,36,American,Breakfast,8,Business,Takeaway,0,27,1,5,3
837,37,Male,81926,Daily,51,Indian,Lunch,8,Casual,Dine-in,1,56,2,5,2
838,52,Male,100057,Monthly,128,Indian,Breakfast,7,Business,Dine-in,0,11,4,3,1
839,69,Female,51842,Monthly,91,American,Dinner,5,Celebration,Dine-in,0,59,3,5,4
840,23,Male,56374,Rarely,31,Italian,Lunch,5,Business,Dine-in,0,51,5,1,3
841,19,Female,59251,Monthly,124,Indian,Dinner,6,Casual,Dine-in,0,20,4,3,3
842,65,Female,82771,Rarely,100,Mexican,Breakfast,7,Celebration,Takeaway,0,33,5,3,4
843,53,Male,38928,Daily,82,Italian,Dinner,7,Business,Takeaway,1,17,2,2,5
844,55,Female,132925,Monthly,105,Indian,Breakfast,2,Business,Dine-in,0,2,2,5,2
845,53,Female,117007,Monthly,31,American,Breakfast,9,Casual,Dine-in,1,13,1,2,2
846,46,Female,58377,Rarely,191,Chinese,Breakfast,4,Business,Dine-in,0,49,4,5,5
847,33,Female,37228,Weekly,16,Mexican,Breakfast,2,Business,Takeaway,1,53,1,5,4
848,31,Female,33733,Rarely,24,Italian,Breakfast,2,Casual,Takeaway,1,51,4,4,3
849,18,Female,26732,Daily,178,Chinese,Dinner,8,Business,Takeaway,0,33,4,5,1
850,40,Male,37366,Monthly,30,Chinese,Lunch,7,Casual,Takeaway,0,30,3,2,4
851,28,Female,135894,Rarely,173,Chinese,Breakfast,8,Business,Takeaway,0,59,1,2,3
852,67,Female,63976,Monthly,65,American,Breakfast,4,Casual,Dine-in,0,22,5,3,1
853,59,Male,104089,Monthly,141,Italian,Breakfast,8,Business,Takeaway,0,45,5,2,1
854,65,Female,33024,Weekly,184,Chinese,Breakfast,4,Business,Dine-in,1,30,4,2,2
855,58,Male,30928,Rarely,16,Italian,Dinner,2,Business,Dine-in,1,16,4,5,5
856,46,Male,42055,Rarely,57,Chinese,Breakfast,8,Casual,Takeaway,1,36,5,3,2
857,60,Female,39596,Weekly,17,Chinese,Breakfast,7,Business,Takeaway,1,23,5,4,5
858,27,Male,29233,Monthly,137,American,Dinner,5,Casual,Takeaway,1,12,5,2,3
859,54,Male,114257,Monthly,126,Mexican,Lunch,9,Casual,Takeaway,1,50,3,1,2
860,32,Female,77834,Daily,64,Chinese,Lunch,7,Celebration,Takeaway,0,5,2,2,5
861,26,Male,114739,Monthly,99,Chinese,Dinner,5,Casual,Dine-in,0,15,5,1,4
862,51,Female,103678,Daily,111,Chinese,Lunch,8,Celebration,Dine-in,0,13,4,1,4
863,22,Female,60978,Monthly,21,Chinese,Dinner,2,Celebration,Takeaway,1,32,2,2,1
864,54,Female,92219,Weekly,161,Mexican,Lunch,7,Celebration,Takeaway,1,47,4,3,1
865,63,Male,73684,Monthly,149,Chinese,Breakfast,5,Casual,Takeaway,0,54,1,2,5
866,37,Female,80987,Rarely,29,Indian,Lunch,6,Casual,Dine-in,0,41,3,3,5
867,65,Male,83795,Weekly,109,Chinese,Lunch,6,Celebration,Dine-in,0,12,2,3,1
868,44,Male,121995,Weekly,108,American,Breakfast,9,Casual,Dine-in,1,35,4,5,2
869,67,Female,40132,Monthly,137,Indian,Lunch,2,Celebration,Takeaway,0,16,2,3,4
870,37,Male,46888,Rarely,169,Indian,Breakfast,7,Business,Takeaway,0,47,4,2,5
871,58,Male,117392,Monthly,85,American,Breakfast,8,Business,Dine-in,0,50,2,5,2
872,51,Male,120651,Monthly,171,Mexican,Breakfast,8,Casual,Dine-in,0,4,1,3,5
873,61,Male,53243,Rarely,46,American,Breakfast,1,Casual,Dine-in,1,57,3,4,4
874,25,Female,145582,Rarely,154,Chinese,Breakfast,8,Business,Dine-in,1,38,5,5,4
875,23,Female,113128,Monthly,109,American,Breakfast,6,Business,Dine-in,0,5,2,1,3
876,45,Male,81659,Rarely,28,Chinese,Dinner,6,Business,Dine-in,1,30,4,2,3
877,34,Male,71400,Rarely,33,Chinese,Breakfast,4,Celebration,Dine-in,0,38,4,1,1
878,45,Female,33354,Weekly,49,Italian,Breakfast,2,Casual,Dine-in,1,7,5,4,5
879,40,Female,105103,Rarely,191,Mexican,Breakfast,8,Celebration,Dine-in,1,54,2,2,4
880,28,Male,21013,Monthly,125,Italian,Lunch,3,Business,Takeaway,0,49,5,2,1
881,32,Male,115561,Monthly,185,Italian,Breakfast,8,Business,Takeaway,0,19,4,2,4
882,42,Female,29377,Monthly,36,American,Lunch,3,Casual,Takeaway,1,27,3,3,5
883,39,Female,81856,Monthly,11,American,Breakfast,1,Business,Dine-in,1,46,2,4,3
884,59,Male,26530,Daily,155,American,Lunch,6,Casual,Takeaway,1,25,5,4,1
885,22,Male,139877,Rarely,113,Indian,Dinner,2,Business,Dine-in,1,19,3,1,1
886,68,Male,81959,Monthly,172,Chinese,Lunch,9,Casual,Takeaway,1,24,1,3,5
887,60,Male,87656,Monthly,141,American,Breakfast,8,Business,Takeaway,0,26,4,4,4
888,62,Male,91688,Weekly,104,Indian,Dinner,1,Business,Takeaway,1,48,2,2,4
889,57,Female,53277,Monthly,124,Chinese,Lunch,3,Business,Takeaway,1,32,1,3,5
890,68,Female,82561,Monthly,49,Chinese,Lunch,1,Business,Dine-in,0,7,4,5,5
891,65,Female,104032,Weekly,130,Indian,Dinner,4,Casual,Takeaway,0,41,4,5,3
892,37,Female,149658,Daily,25,Chinese,Breakfast,9,Celebration,Dine-in,0,8,5,4,5
893,56,Female,78086,Daily,145,Chinese,Dinner,5,Celebration,Dine-in,0,42,3,1,2
894,24,Male,50879,Weekly,19,Mexican,Breakfast,7,Casual,Dine-in,0,24,1,3,5
895,36,Male,89941,Daily,85,Chinese,Lunch,5,Business,Dine-in,0,29,4,2,4
896,47,Female,111573,Monthly,68,Mexican,Breakfast,2,Casual,Dine-in,1,13,2,3,3
897,18,Male,72238,Monthly,62,American,Breakfast,4,Celebration,Takeaway,1,51,1,5,2
898,66,Female,117916,Weekly,34,Mexican,Dinner,2,Celebration,Dine-in,1,9,2,1,1
899,57,Male,27829,Monthly,19,Mexican,Breakfast,8,Casual,Dine-in,0,50,5,4,1
900,37,Female,22230,Weekly,179,Mexican,Dinner,6,Celebration,Dine-in,1,14,2,3,5
901,23,Female,77844,Weekly,114,Indian,Breakfast,1,Casual,Takeaway,0,55,5,4,1
902,43,Female,149118,Weekly,90,Italian,Breakfast,8,Casual,Dine-in,0,38,2,1,5
903,40,Male,67199,Weekly,13,Italian,Breakfast,2,Business,Takeaway,0,49,3,4,1
904,29,Female,86899,Weekly,176,Chinese,Lunch,7,Business,Dine-in,0,28,1,2,2
905,36,Male,94510,Rarely,120,Indian,Breakfast,7,Celebration,Takeaway,0,48,2,3,2
906,28,Male,98058,Daily,75,American,Dinner,2,Business,Takeaway,1,38,4,3,3
907,18,Male,33736,Weekly,165,Mexican,Breakfast,8,Celebration,Dine-in,0,10,3,5,1
908,42,Male,124552,Weekly,132,Chinese,Dinner,9,Celebration,Takeaway,1,5,1,2,2
909,45,Male,35395,Rarely,191,Chinese,Dinner,4,Casual,Dine-in,0,47,1,1,4
910,64,Female,146852,Monthly,27,American,Dinner,2,Casual,Dine-in,1,42,1,1,3
911,69,Female,71808,Weekly,141,American,Breakfast,3,Business,Takeaway,1,10,5,5,4
912,68,Female,35185,Weekly,87,Mexican,Breakfast,4,Casual,Takeaway,1,10,3,5,5
913,55,Female,21676,Weekly,97,American,Dinner,7,Celebration,Takeaway,1,46,4,1,1
914,46,Male,127276,Weekly,164,American,Breakfast,3,Celebration,Dine-in,1,33,4,5,1
915,53,Male,102136,Weekly,155,Indian,Lunch,4,Casual,Dine-in,0,13,4,2,3
916,66,Female,89919,Daily,59,Italian,Breakfast,1,Celebration,Dine-in,1,8,4,4,1
917,27,Female,28317,Daily,56,Indian,Breakfast,2,Casual,Dine-in,0,11,4,1,2
918,68,Female,49070,Weekly,124,Indian,Dinner,7,Business,Takeaway,1,23,5,1,4
919,44,Female,36731,Weekly,139,Chinese,Lunch,5,Casual,Dine-in,0,49,1,5,4
920,69,Female,132180,Weekly,38,Italian,Lunch,3,Celebration,Dine-in,0,30,3,2,1
921,51,Male,98793,Weekly,103,Mexican,Lunch,8,Business,Dine-in,0,49,4,4,4
922,66,Male,32487,Monthly,53,American,Dinner,1,Celebration,Takeaway,0,14,3,2,4
923,18,Female,37819,Monthly,187,Chinese,Dinner,7,Casual,Dine-in,0,14,2,4,4
924,25,Male,26355,Monthly,70,Italian,Lunch,2,Casual,Dine-in,1,42,3,1,2
925,54,Male,86543,Weekly,153,Chinese,Breakfast,5,Business,Dine-in,0,57,5,1,1
926,67,Male,117648,Weekly,94,Italian,Breakfast,2,Business,Dine-in,0,29,1,5,3
927,55,Male,118250,Monthly,192,Chinese,Dinner,7,Celebration,Dine-in,0,28,5,5,4
928,23,Female,105464,Daily,44,Mexican,Lunch,9,Celebration,Takeaway,0,41,2,1,1
929,38,Male,51873,Daily,140,Italian,Lunch,7,Business,Dine-in,0,22,2,2,4
930,53,Male,38795,Daily,120,American,Lunch,3,Casual,Dine-in,0,46,4,1,1
931,28,Male,32355,Weekly,88,Chinese,Lunch,4,Casual,Dine-in,0,59,5,2,2
932,62,Female,112173,Monthly,74,American,Dinner,9,Business,Dine-in,0,11,2,3,1
933,26,Female,63111,Rarely,143,Indian,Dinner,9,Business,Dine-in,1,23,4,1,2
934,46,Male,20312,Daily,46,American,Breakfast,4,Celebration,Dine-in,0,1,1,2,3
935,27,Male,24045,Weekly,16,Mexican,Lunch,1,Celebration,Takeaway,0,57,5,5,5
936,64,Female,28666,Monthly,76,Mexican,Breakfast,1,Celebration,Dine-in,0,45,2,2,1
937,41,Female,68313,Weekly,65,Indian,Breakfast,3,Casual,Takeaway,1,40,2,2,4
938,35,Male,111143,Rarely,40,Mexican,Lunch,5,Business,Takeaway,0,14,4,3,3
